Name,Location,Founded,Employees,About,Skills,Link
Cloudesign - Java Developer,Job available in Work From Home,Founded in 2015,50 - 200 employees,"Cloudesign Technology Solutions is a digital transformation IT consulting and services company, that helps a range of enterprises by delivering software development, testing, mobility solutions, and more.","Python
Django
Flask",https://www.instahyre.com/job-290115-java-developer-at-cloudesign-work-from-home/
FourthPointer Services - Lead Engineer,Job available in Noida,Founded in 2012,50 - 200 employees,"FourthPointer is a digital technology company that provides end-to-end software development services which include seamless design, fast development to timely delivery of mobile, and cloud web products.","Python
Node.js
Express.js",https://www.instahyre.com/job-290253-lead-engineer-at-fourthpointer-services-noida/
Recro - Python Developer,Job available in Bangalore,Founded in 2014,200 - 500 employees,Recro is a developer-focused platform bridging the gap between talent and opportunity by seamlessly matching individual expertise with the right opportunities in high-growth organizations.,"Python
NLP
Algorithms",https://www.instahyre.com/job-290132-python-developer-at-recro-2-bangalore/
Recro - Python Developer,Job available in Gurgaon,Founded in 2014,200 - 500 employees,Recro is a developer-focused platform bridging the gap between talent and opportunity by seamlessly matching individual expertise with the right opportunities in high-growth organizations.,"Python
NLP
SQL
Git",https://www.instahyre.com/job-290133-python-developer-at-recro-2-gurgaon/
Sagarsoft - QA - Automation Engineer,Job available in Hyderabad,Founded in 1996,200 - 500 employees,"Sagarsoft is an IT & Services organization that provides services related to Application Development, Maintenance & Support, QA, Database Administration, and Mobile Development, etc.","Python
Automation Testing
Performance Testing
SDET
Java",https://www.instahyre.com/job-290184-qa-automation-engineer-at-sagarsoft-2-hyderabad/
Sagarsoft - QA - Automation Engineer,"Job available in Bangalore, Hyderabad",Founded in 1996,200 - 500 employees,"Sagarsoft is an IT & Services organization that provides services related to Application Development, Maintenance & Support, QA, Database Administration, and Mobile Development, etc.","Python
API Testing
Automation Testing
JMeter
Java
+3",https://www.instahyre.com/job-290187-qa-automation-engineer-at-sagarsoft-2-bangalore-hyderabad/
Salesforce - Senior Engineering Manager (Enterprise Software),"Job available in Bangalore, Hyderabad",Founded in 1999,More than 1000 employees,Salesforce is an enterprise cloud computing company that provides business software on a subscription basis. Best known for its on-demand CRM solutions but offers various other products as well.,"Python
Big Data
Golang
Java
Scala",https://www.instahyre.com/job-290153-senior-engineering-manager-enterprise-software-at-salesforce-bangalore-hyderabad/
Squadcast - Data Engineer,Job available in Work From Home,Founded in 2017,10 - 50 employees,"Squadcast is an IT & Services company that specializes in solutions wrt DevOps, Site Reliability Engineering, Incident Resolution, Cloud Reliability, Cloud Monitoring, Alert Management, etc.","Python
MongoDB
SQL
Node.js",https://www.instahyre.com/job-290195-data-engineer-at-squadcast-work-from-home/
Squadcast - Data Engineer,Job available in Work From Home,Founded in 2017,10 - 50 employees,"Squadcast is an IT & Services company that specializes in solutions wrt DevOps, Site Reliability Engineering, Incident Resolution, Cloud Reliability, Cloud Monitoring, Alert Management, etc.","Python
SQL
Tableau
CI - CD
MongoDB",https://www.instahyre.com/job-290196-data-engineer-at-squadcast-work-from-home/
Squadcast - Data Engineer,Job available in Work From Home,Founded in 2017,10 - 50 employees,"Squadcast is an IT & Services company that specializes in solutions wrt DevOps, Site Reliability Engineering, Incident Resolution, Cloud Reliability, Cloud Monitoring, Alert Management, etc.","Python
SQL
Tableau
MongoDB
Revenue Analysis",https://www.instahyre.com/job-290217-data-engineer-at-squadcast-work-from-home/
Teachmint - SDET,Job available in Bangalore,Founded in 2020,500 - 1000 employees,"Teachmint is an all-in-one education technology platform for the tutors of the digital age featuring live classes, and student engagement tools, it focuses on creating a deeply immersive online experience.","Python
Appium
Automation Testing
JMeter
Java
+5",https://www.instahyre.com/job-290247-sdet-at-teachmint-bangalore/
Tripadvisor - Machine Learning Engineer II,Job available in Work From Home,Founded in 2000,More than 1000 employees,"Tripadvisor is a free travel guide and forum that lets travelers explore, discover, and plan trips based on user-generated content and reviews of hotels, restaurants, tourist destinations, activities, etc.","Python
Machine Learning
NLP",https://www.instahyre.com/job-290087-machine-learning-engineer-ii-at-tripadvisor-work-from-home/
Tripadvisor - Senior Machine Learning Engineer,Job available in Work From Home,Founded in 2000,More than 1000 employees,"Tripadvisor is a free travel guide and forum that lets travelers explore, discover, and plan trips based on user-generated content and reviews of hotels, restaurants, tourist destinations, activities, etc.","Python
Machine Learning
NLP
Snowflake
Spark",https://www.instahyre.com/job-290081-senior-machine-learning-engineer-at-tripadvisor-work-from-home/
Velotio Technologies - GEN AI Engineer,Job available in Work From Home,Founded in 2016,200 - 500 employees,"Velotio is a product development services provider. It helps SaaS companies in developing products, adding intelligence to existing products, adopting agile infrastructure, and improving product stability.","Python
Machine Learning",https://www.instahyre.com/job-290221-gen-ai-engineer-at-velotio-technologies-work-from-home/
Verizon Communications - Qlik Sense Devveloper,Job available in Chennai,Founded in 1983,More than 1000 employees,"Verizon provides telecommunications services specializing in 5G, 5G Labs, 4G LTE, Broadband & Fiber, Media & Technology, Internet of Things, Managed Security, etc.","Python
Qlik Sense
Looker
QlikView",https://www.instahyre.com/job-290083-qlik-sense-devveloper-at-verizon-communications-chennai/
Ximkart - Senior Backend Engineer,Job available in Bangalore,Founded in 2021,10 - 50 employees,"Ximkart is a B2B e-commerce platform that is bridging the long trade gap between buyers and sellers by securing kids, women, and men's fashion e-commerce platform including cross-border trade services.","Python
Java
Spring Boot
PostgreSQL",https://www.instahyre.com/job-290207-senior-backend-engineer-at-ximkart-bangalore/
Yugen.ai - MLOps Engineer,"Job available in Bangalore, Work From Home",Founded in 2020,10 - 50 employees,"Yugen is an early-stage startup in the data science and machine learning engineering space that aims to provide IT consultation and solutions with expertise in the adoption of algorithms, engineering, and AI.","Python
.NET
ASP.NET
C#",https://www.instahyre.com/job-290078-mlops-engineer-at-yugen-bangalore-work-from-home/
Adagrad AI - Fullstack Developer,Job available in Pune,Founded in 2018,10 - 50 employees,"Adagrad AI is a leading AI solution provider that leverages hardware-accelerated algorithms, enhanced computer vision applications, and advanced tech to develop and deploy scalable solutions for businesses.","Python
Django
React.js",https://www.instahyre.com/job-290216-fullstack-developer-at-adagrad-ai-pune/
Adobe - Applied Research Scientist,"Job available in Bangalore, Noida",Founded in 1982,More than 1000 employees,"Founded in 1982 and headquartered in San Jose, California, Adobe has historically focused upon the creation of multimedia and creativity software products, with a more recent foray towards rich Internet application software development.","Python
Computer Vision
Machine Learning
PyTorch
TensorFlow",https://www.instahyre.com/job-290109-applied-research-scientist-at-adobe-bangalore-noida/
Amazon - Java - Backend Developer,Job available in Bangalore,Founded in 1994,More than 1000 employees,"Amazon is the world's largest online retailer. The company has been referred to as ""one of the most influential economic and cultural forces in the world"", as well as the world's most valuable brand.","Python
Java
Data Structures
Algorithms
Golang",https://www.instahyre.com/job-289964-java-backend-developer-at-amazon-bangalore/
Baya Systems - Software Engineer,Job available in Bangalore,Founded in 2023,10 - 50 employees,Baya Systems is a tier-1 VC-funded startup in the US leveraging the latest technologies to develop high-impact products and infrastructures for top companies operating in the semiconductor industry.,"Python
C++
Git
Data Structures
Algorithms",https://www.instahyre.com/job-289968-software-engineer-at-baya-systems-bangalore/
Brevan Howard - Quant Analyst,Job available in Bangalore,Founded in 2002,500 - 1000 employees,"Brevan Howard is an alternative investment management firm managing macro and digital assets for institutional investors like sovereign wealth funds, corporate and public pension plans, foundations, and endowments.","Python
Microsoft Excel
Quantitative Analysis
Algorithms
C++",https://www.instahyre.com/job-290056-quant-analyst-at-brevan-howard-bangalore/
Captain Fresh - Senior NLP Engineer,Job available in Bangalore,Founded in 2019,More than 1000 employees,Captain Fresh is a Logistics and Supply Chain company for delivering seafood and meat to the Indian consumer. It is building the future of meat and seafood supply chain.,"Python
AWS
Azure
Chatbots
GEN
Google Cloud
+5",https://www.instahyre.com/job-289957-senior-nlp-engineer-at-captain-fresh-bangalore/
Cypherox Technologies - Sr. Data Engineer,Job available in Bangalore,Founded in 2014,50 - 200 employees,"Cypherox Technologies is an IT & Services organization that provides services related to Website Development, E-Commerce, Mobile Apps, Digital Marketing and Chatbots, etc.","Python
Databricks
Airflow
PySpark
AWS",https://www.instahyre.com/job-289924-sr-data-engineer-at-cypherox-technologies-bangalore/
Dragonfruit AI - QA Engineer,Job available in Work From Home,Founded in 2019,10 - 50 employees,"Dragonfruit is a video AI platform that gives multi-location visibility, real-time alerts, occupancy management, and forensic investigations that centrally ingest, analyze, and manage all physical security video.","Python
Automation Testing
UI Testing
Selenium
SQL",https://www.instahyre.com/job-289939-qa-engineer-at-dragonfruit-ai-work-from-home/
Durianpay - Software Engineer - Backend,Job available in Bangalore,Founded in 2020,10 - 50 employees,"Durianpay is a Singapore-based online payment platform that offers one-stop solutions for frictionless checkout, easy-to-integrate modern APIs, and a single dashboard to manage payments and financial needs.","Python
Java
Golang
Node.js",https://www.instahyre.com/job-290010-software-engineer-backend-at-durianpay-2-bangalore/
Goldcast - Python Developer,Job available in Bangalore,Founded in 2020,0 - 10 employees,Goldcast is an event management platform that lets B2B marketers and enterprises host interactive virtual events with tools and dashboards to measure the ROI and provide lead qualification insights.,"Java
Spring
Data Structures
Algorithms
J2EE",https://www.instahyre.com/job-289913-python-developer-at-goldcast-bangalore/
Intuit - Senior Software Engineer,Job available in Bangalore,Founded in 1983,More than 1000 employees,"Intuit is an MNC that develops financial and tax preparation software. It makes the personal finance programs Quicken and TurboTax, and the small business accounting program QuickBooks.","Python
AWS
Hibernate
J2EE
Java
Microservices
Spring",https://www.instahyre.com/job-289940-senior-software-engineer-at-intuit-bangalore/
Klimb.io - Lead Software Engineer,Job available in Bangalore,Founded in 2015,10 - 50 employees,"Klimb provides a cloud-based recruitment process management suite. Offers a product that aims to bring speed and intelligence to recruitment, and a learning platform which helps recruiters with tech hiring.","Python
Java
Golang
Algorithms
Microservices",https://www.instahyre.com/job-290032-lead-software-engineer-at-klimb-bangalore/
Kool Koders - Data Engineer,Job available in Work From Home,Founded in 2017,10 - 50 employees,"Kool Koders is an IT company that offers result-oriented digital solutions for web and mobile app development, UI/UX design, and cloud consulting to startups, SMEs, and large-scale enterprises.","Python
Google Cloud
BigQuery
SQL
Airflow",https://www.instahyre.com/job-289975-data-engineer-at-kool-koders-work-from-home/
Lendingkart - Data Scientist,Job available in Bangalore,Founded in 2014,200 - 500 employees,"Lendingkart enables SMBs to apply for collateral-free working capital loans. The company uses cash flow, credit history, and customer experiences to evaluate the business. Has raised over $42 million to date.","Python
Data Analysis
R
Statistics",https://www.instahyre.com/job-290075-data-scientist-at-lendingkart-bangalore/
Merilytics - Business Associate (Analytics),Job available in Hyderabad,Founded in 2011,200 - 500 employees,"Merilytics is a management consulting organization that provides services related to analytical solutions, specializing in Due Diligence, Risk Management, Sales & Marketing, etc.","Python
Microsoft Excel
Power BI
R
SQL",https://www.instahyre.com/job-289991-business-associate-analytics-at-merilytics-2-hyderabad/
MetaMap - Senior ML Engineer,Job available in Bangalore,Founded in 2017,200 - 500 employees,"MetaMap is a software company that enables builders in fast-growing, underserved regions with digital identity and reputation tools to make user verification processes seamless ensuring compliance and data privacy.","Python
Computer Vision
Machine Learning
CUDA
OpenCV
+2",https://www.instahyre.com/job-290014-senior-ml-engineer-at-metamap-2-bangalore/
MSD Technologies - Lead Data Engineer - DWH + ADF,Job available in Work From Home,Founded in 2012,10 - 50 employees,MSD Technologies provides engineering services specializing in the HVAC industry developing software for designing and rating of HVAC softwares along with producing machine tools heat exchangers.,"Python
ETL
Data Warehousing
Azure Data Factory
Azure",https://www.instahyre.com/job-289942-lead-data-engineer-dwh-adf-at-msd-technologies-work-from-home/
Rippling - Senior Software Engineer,Job available in Bangalore,Founded in 2016,More than 1000 employees,"Started by the founder of multi-billion dollar startup Zenefits, Rippling automates the task checklist of IT, HR, Facilities, Legal, Finance, and employees during the onboarding and offboarding processes.","Python
Golang
Java
Django",https://www.instahyre.com/job-290064-senior-software-engineer-at-rippling-bangalore/
Sahaj Software - Fullstack Developer,Job available in Pune,Founded in 2014,50 - 200 employees,"Sahaj Software is a computer software company that provides services related to consulting, delivery services, technology advisory, custom software development, etc.","Python
.NET
Golang
Java
JavaScript
Ruby
Scala
+5",https://www.instahyre.com/job-289906-fullstack-developer-at-sahaj-software-pune/
SiteRecon - Senior Backend Engineer,Job available in Noida,Founded in 2020,50 - 200 employees,"SiteRecon is a property intelligence platform that leverages AI automated tools to facilitate aerial measurements, mapping, and surveying for landscaping contractors, salespeople, and landowners.","Python
React.js",https://www.instahyre.com/job-290063-senior-backend-engineer-at-siterecon-noida/
Accrete.AI - Sr. Platform Engineer,Job available in Mumbai,Founded in 2017,10 - 50 employees,"Accrete.AI is a Computer Software company that specializes in Financial Services, AI, APIs, Collective Intelligence, Contextual Awareness, Financial Markets, Real Estate, Healthcare, etc.","Python
Machine Learning
Docker
Kubernetes
CI - CD",https://www.instahyre.com/job-290060-sr-platform-engineer-at-accrete-mumbai/
Adobe - Applied Research Scientist,Job available in Bangalore,Founded in 1982,More than 1000 employees,"Founded in 1982 and headquartered in San Jose, California, Adobe has historically focused upon the creation of multimedia and creativity software products, with a more recent foray towards rich Internet application software development.","Python
Computer Vision
Machine Learning
PyTorch
TensorFlow",https://www.instahyre.com/job-289993-applied-research-scientist-at-adobe-bangalore/
Amazon - Java - Backend Developer,Job available in Bangalore,Founded in 1994,More than 1000 employees,"Amazon is the world's largest online retailer. The company has been referred to as ""one of the most influential economic and cultural forces in the world"", as well as the world's most valuable brand.","Python
Java
Data Structures
Algorithms
Golang",https://www.instahyre.com/job-289964-java-backend-developer-at-amazon-bangalore/
Baya Systems - Software Engineer,Job available in Bangalore,Founded in 2023,10 - 50 employees,Baya Systems is a tier-1 VC-funded startup in the US leveraging the latest technologies to develop high-impact products and infrastructures for top companies operating in the semiconductor industry.,"Python
C++
Git
Data Structures
Algorithms",https://www.instahyre.com/job-289968-software-engineer-at-baya-systems-bangalore/
Brevan Howard - Quant Analyst,Job available in Bangalore,Founded in 2002,500 - 1000 employees,"Brevan Howard is an alternative investment management firm managing macro and digital assets for institutional investors like sovereign wealth funds, corporate and public pension plans, foundations, and endowments.","Python
Microsoft Excel
Quantitative Analysis
Algorithms
C++",https://www.instahyre.com/job-290056-quant-analyst-at-brevan-howard-bangalore/
Captain Fresh - Senior NLP Engineer,Job available in Bangalore,Founded in 2019,More than 1000 employees,Captain Fresh is a Logistics and Supply Chain company for delivering seafood and meat to the Indian consumer. It is building the future of meat and seafood supply chain.,"Python
AWS
Azure
Chatbots
GEN
Google Cloud
+5",https://www.instahyre.com/job-289957-senior-nlp-engineer-at-captain-fresh-bangalore/
Cypherox Technologies - Sr. Data Engineer,Job available in Bangalore,Founded in 2014,50 - 200 employees,"Cypherox Technologies is an IT & Services organization that provides services related to Website Development, E-Commerce, Mobile Apps, Digital Marketing and Chatbots, etc.","Python
Databricks
Airflow
PySpark
AWS",https://www.instahyre.com/job-289924-sr-data-engineer-at-cypherox-technologies-bangalore/
Dragonfruit AI - QA Engineer,Job available in Work From Home,Founded in 2019,10 - 50 employees,"Dragonfruit is a video AI platform that gives multi-location visibility, real-time alerts, occupancy management, and forensic investigations that centrally ingest, analyze, and manage all physical security video.","Python
Automation Testing
UI Testing
Selenium
SQL",https://www.instahyre.com/job-289939-qa-engineer-at-dragonfruit-ai-work-from-home/
Durianpay - Software Engineer - Backend,Job available in Bangalore,Founded in 2020,10 - 50 employees,"Durianpay is a Singapore-based online payment platform that offers one-stop solutions for frictionless checkout, easy-to-integrate modern APIs, and a single dashboard to manage payments and financial needs.","Python
Java
Golang
Node.js",https://www.instahyre.com/job-290010-software-engineer-backend-at-durianpay-2-bangalore/
Goldcast - Python Developer,Job available in Bangalore,Founded in 2020,0 - 10 employees,Goldcast is an event management platform that lets B2B marketers and enterprises host interactive virtual events with tools and dashboards to measure the ROI and provide lead qualification insights.,"Java
Spring
Data Structures
Algorithms
J2EE",https://www.instahyre.com/job-289913-python-developer-at-goldcast-bangalore/
Morgan Stanley - Senior Manager / Python Developer - NLP / ML,Job available in Bangalore,Founded in 1935,More than 1000 employees,"Morgan Stanley is an American investment bank and financial services company that helps governments, corporations, institutions, and individuals around the world with varied financial solutions.",Python,https://www.instahyre.com/job-289771-senior-manager-python-developer-nlp-ml-at-morgan-stanley-bangalore/
Morgan Stanley - Vice President - Fullstack Developer (Perl / Python / Ang),"Job available in Bangalore, Mumbai",Founded in 1935,More than 1000 employees,"Morgan Stanley is an American investment bank and financial services company that helps governments, corporations, institutions, and individuals around the world with varied financial solutions.","Python
JavaScript
Angular",https://www.instahyre.com/job-289890-vice-president-fullstack-developer-perl-python-ang-at-morgan-stanley-bangalore-mumbai/
Novartis - Data Engineer,Job available in Bangalore,Founded in 1996,More than 1000 employees,Novartis is a healthcare company that provides solutions to address the evolving needs of patients worldwide using innovative science and technology to address some of society's most challenging healthcare issues.,"Python
Databricks
Airflow
PySpark
Azure",https://www.instahyre.com/job-289853-data-engineer-at-novartis-bangalore/
Ripplr - Software Developer,Job available in Bangalore,Founded in 2019,50 - 200 employees,"Ripplr is a B2B Logistics, Distribution Start-up with tech enabled solutions such as AI, IoT & ML. It provides a package of Logistics, Distribution and Retail ecosystem solutions to clients.","Python
Algorithms
Data Structures",https://www.instahyre.com/job-289776-software-developer-at-ripplr-bangalore/
Schrodinger - Frontend Developer,Job available in Hyderabad,Founded in 1990,200 - 500 employees,"Schrdinger is a computational platform for the exploration of chemical space and drug discoveries that facilitates the research efforts of biopharmaceutical and industrial companies, and laboratories.","Python
React.js
JavaScript
TypeScript
UX Design",https://www.instahyre.com/job-289813-frontend-developer-at-schrodinger-hyderabad/
SigTech - Junior Software Engineer,Job available in Bangalore,Founded in 2019,50 - 200 employees,"SigTech specializes in offering a future-proof quant trading platform to global investment managers that validates financial data and provides the tools to research, build, and deploy customized strategies.","Python
Bash
Linux
Git
Finance",https://www.instahyre.com/job-289815-junior-software-engineer-at-sigtech-bangalore/
Snapmint - Data Analyst,Job available in Bangalore,Founded in 2016,50 - 200 employees,"Snapmint is a purchase loan check out solution that merchants can use to offer EMI payment solutions to customers. Customers have to enter their basic details for instant approval, without the use of a credit card.","Python
Microsoft Excel
SQL",https://www.instahyre.com/job-289783-data-analyst-at-snapmint-bangalore/
Tailorbird - Full Stack Developer,Job available in Work From Home,Founded in 2020,10 - 50 employees,"Tailorbird is a technology-driven commercial real estate company that aims to make the home renovations process simpler, faster, and manageable at every level through its marketplace and software tools.","Python
React.js
Django
PostgreSQL
Flask",https://www.instahyre.com/job-289867-full-stack-developer-at-tailorbird-work-from-home/
Trajector - AI Engineer,Job available in Gurgaon,Founded in 2019,More than 1000 employees,Trajector is a Veteran-owned firm providing necessary medical evidence and support to help under-served and at-risk disabled individuals in the US receive qualified treatments from government and private entities.,"Python
PyTorch
TensorFlow",https://www.instahyre.com/job-289799-ai-engineer-at-trajector-gurgaon/
Walmart Global Tech India - Senior Manager - Software Engineering,Job available in Bangalore,Founded in 1962,More than 1000 employees,Walmart is the world's largest company by revenue - approx $480 billion according to the Fortune Global 500 list in 2016 Walmart Labs is the technology arm of Walmart with a major development center in Bangalore.,"Python
Big Data
Java
JavaScript
Quality Assurance
+2",https://www.instahyre.com/job-289902-senior-manager-software-engineering-at-walmart-global-tech-india-bangalore/
Airbus - React Developer,Job available in Bangalore,Founded in 2014,More than 1000 employees,"Airbus is a European MNC and the world's second biggest aerospace and defence company. Airbus designs, manufactures and sells civil and military aerospace products worldwide.","Python
React.js
AWS
Node.js
Java",https://www.instahyre.com/job-289886-react-developer-at-airbus-bangalore/
Amazon - Senior Software Engineer - Backend,Job available in Bangalore,Founded in 1994,More than 1000 employees,"AlphaSense offers equity research applications for institutional investors. Based in San Francisco, Sentieo is aiming to revolutionize a $100 billion global market currently dominated by old players.","Python
Java
Kubernetes
Terraform
AWS",https://www.instahyre.com/job-289859-senior-software-engineer-backend-at-amazon-bangalore/
Apollo.io - Sr. Fullstack Engineer,Job available in Work From Home,Founded in 2015,50 - 200 employees,"Apollo.io is a sales engagement platform that helps businesses to verify emails, manage lead scoring, and establish communication via email or phone. It helps the sales team identify sales opportunities.","Python
C
JavaScript
Ruby
Node.js
React.js
Ruby on Rails",https://www.instahyre.com/job-289615-sr-fullstack-engineer-at-apollo-2-work-from-home/
Bank of America - Quality Engineer - GBS IND,Job available in Hyderabad,Founded in 1900,More than 1000 employees,"Bank of America Corporation is an American multinational financial services company headquartered in Charlotte, North Carolina. It is ranked 2nd on the list of largest banks in the United States by assets.","Python
Terraform
Selenium
PowerShell
Manual Testing",https://www.instahyre.com/job-289703-quality-engineer-gbs-ind-at-bank-of-america-hyderabad/
BigThinkCode - Senior Test Engineer - Manual + Automation,Job available in Chennai,Founded in 2021,50 - 200 employees,"BigThinkCode is a technology company that caters to various services and requirements in product and platform engineering, data engineering, AI, digital transformation, and the mobility segment for SMEs.","Python
Automation Testing
Manual Testing
SDET
Java
+1",https://www.instahyre.com/job-289706-senior-test-engineer-manual-automation-at-bigthinkcode-chennai/
Bipp - Solr Developer,Job available in Bangalore,Founded in 2017,10 - 50 employees,"Bipp is an in-database cloud BI platform powered by the BippLang data modeling language and SQL, It helps business users to monitor and measure performance in real-time and develops insights faster.","Python
Solr
Apache Server
Spring Security
Network Security",https://www.instahyre.com/job-289736-solr-developer-at-bipp-bangalore/
Captain Fresh - Data Engineer - Databricks / PySpark,Job available in Bangalore,Founded in 2019,More than 1000 employees,Captain Fresh is a Logistics and Supply Chain company for delivering seafood and meat to the Indian consumer. It is building the future of meat and seafood supply chain.,"Python
AWS
Azure Synapse
Databricks
PySpark
SQL",https://www.instahyre.com/job-289638-data-engineer-databricks-pyspark-at-captain-fresh-bangalore/
Captain Fresh - Machine Learning Engineer,Job available in Bangalore,Founded in 2019,More than 1000 employees,Captain Fresh is a Logistics and Supply Chain company for delivering seafood and meat to the Indian consumer. It is building the future of meat and seafood supply chain.,"Python
MLOps
Databricks
Machine Learning",https://www.instahyre.com/job-289734-machine-learning-engineer-at-captain-fresh-bangalore/
DevRev - Onecrm Engineer,Job available in Chennai,Founded in 2020,10 - 50 employees,"DevRev is a startup that is building AI-based CRM solutions that aim to bring developers closer to the customer enabling them to build, operate, support, and grow their products, founded by IIT alumnus.","Python
Java
Golang
SQL
Data Structures",https://www.instahyre.com/job-289755-onecrm-engineer-at-devrev-chennai/
Eli Lilly - Platform Engineer,Job available in Bangalore,Founded in 1876,More than 1000 employees,"Lilly is a global healthcare company that develops and delivers trusted medicines and diagnostics in the areas of bone muscle joint, cancer, cardiovascular, diabetes etc while having its reach across 125 countries.","Python
AWS
Machine Learning
Docker
Kubernetes",https://www.instahyre.com/job-289759-platform-engineer-at-eli-lilly-bangalore/
GeBBS Healthcare Solutions - Lead Data Scientist,"Job available in Mumbai, Navi Mumbai",Founded in 2005,More than 1000 employees,"GeBBS is a health tech company that helps to improve financial performance and compliance, and enhances the patient experience by offering revenue cycle management (RCM) services and risk adjustment solutions.","Python
Computer Vision
Data Mining
Machine Learning
NLP",https://www.instahyre.com/job-289684-lead-data-scientist-at-gebbs-healthcare-solutions-mumbai-navi-mumbai/
JMAN Group - Cloud Data Architect,Job available in Chennai,Founded in 2010,50 - 200 employees,"JMAN Group is a tech-based management consultancy that caters to data engineering, analytics, and software development requirement of various sectors and focuses on private equity and investor communities.","Python
Big Data",https://www.instahyre.com/job-289639-cloud-data-architect-at-jman-group-chennai/
MindTickle - TPO - II - Senior Engineering Manager,Job available in Bangalore,Founded in 2012,200 - 500 employees,"Founded by alumni from IITs, ISB and Stanford, MindTickle has raised $14 million and has Fortune 500 customers globally such as eBay, SAP, HCL, MakeMyTrip, etc.","Python
Big Data
Golang
Java
Node.js
Ruby
Scala
+6",https://www.instahyre.com/job-289603-tpo-ii-senior-engineering-manager-at-mindtickle-bangalore/
Navi Technologies - Tech Lead,Job available in Bangalore,Founded in 2019,50 - 200 employees,"Navi Technologies is building a consumer-centric and technology-driven business to make financial services simple and accessible for everyone by offering a range of loans, insurance, and more.","Python
Java
Kotlin
Golang",https://www.instahyre.com/job-289626-tech-lead-at-navi-technologies-bangalore/
RenewBuy - SSE - Backend,Job available in Indore,Founded in 2015,200 - 500 employees,"RenewBuy is a financial service company that provides service related to an online insurance platform providing a way to compare, choose and buy motor and health insurance policy.","Python
Django
Linux
MySQL",https://www.instahyre.com/job-289636-sse-backend-at-renewbuy-2-indore/
techsophy - Senior Python Developer,Job available in Hyderabad,Founded in 2009,50 - 200 employees,"techsophy is an IT & Services organization that provides services related to CX Management, User Generated Content Strategy, Gamification & Governance, etc.","Python
Django
Flask
MySQL",https://www.instahyre.com/job-289644-senior-python-developer-at-techsophy-hyderabad/
The Chatterjee Group Real Estate - Data Scientist,Job available in Mumbai,Founded in 1996,50 - 200 employees,"TCGRE is a commercial real estate company focusing on developing, financing, and investing for top-notch commercial properties across petrochemicals, software, life sciences, real estate, finance, and IT sectors.","Python
Machine Learning
NLP
Computer Vision",https://www.instahyre.com/job-289629-data-scientist-at-the-chatterjee-group-real-estate-mumbai/
The Chatterjee Group Real Estate - Data Scientist,Job available in Mumbai,Founded in 1996,50 - 200 employees,"TCGRE is a commercial real estate company focusing on developing, financing, and investing for top-notch commercial properties across petrochemicals, software, life sciences, real estate, finance, and IT sectors.","Python
Machine Learning
Neural Networks
Computer Vision
NLP",https://www.instahyre.com/job-289622-data-scientist-at-the-chatterjee-group-real-estate-mumbai/
Tredence Inc - Data Architect,Job available in Bangalore,Founded in 2013,500 - 1000 employees,"Tredence Inc is a Management Consulting company that specializes in solutions related to Data Visualization, BI Solutions, Advanced Analytics, Tableau Services, Analytics Consulting, etc.","Python
Azure
Databricks
Solution Architecture
SQL",https://www.instahyre.com/job-289599-data-architect-at-tredence-inc-bangalore/
Wayfair - Senior Software Engineer - Backend,Job available in Bangalore,Founded in 2002,More than 1000 employees,"Wayfair is the online destination for the home and a pure-play online retailer that offers a wide range of home goods and furniture products for the bedroom, living room, kitchen and dining, bathroom, and more.","Python
Big Data
C++
Java
PHP",https://www.instahyre.com/job-289709-senior-software-engineer-backend-at-wayfair-bangalore/
Akshaya India - Python Developer,Job available in Bangalore,Founded in 1996,10 - 50 employees,"Akshaya India is a Tour Operator & Travel agency based in Chennai and Bangalore. It is involved in organising Package Tours and travel activities to Corporates, FIT, Families, and Students.","Python
MongoDB",https://www.instahyre.com/job-289729-python-developer-at-akshaya-india-bangalore/
AlphaSense - Cloud Platform Engineer,Job available in Bangalore,Founded in 2011,50 - 200 employees,"eInfochips is a leading global provider of product engineering and semiconductor design services. With over 500+ products developed and 40M deployments in 140 countries, eInfochips continues to fuel technological innovations in multiple verticals.","Python
Script Writing
C
TCL
Hardware Testing",https://www.instahyre.com/job-289750-cloud-platform-engineer-at-alphasense-2-bangalore/
Esper - SDE - DevOps / SRE,Job available in Bangalore,Founded in 2017,50 - 200 employees,"Esper is a cloud-based android device deployment and application management platform that helps organizations remotely scale and manage their critical edge devices such as ATMs, kiosks, POS, wearables, etc.","Python
DevOps
Kubernetes
Docker
AWS",https://www.instahyre.com/job-289578-sde-devops-sre-at-esper-bangalore/
Fleek - Python Developer,Job available in Chennai,Founded in 2021,0 - 10 employees,"Fleek is a subscription management platform that enables users to control, manage, split, and pay for various subscription-based services like Netflix, Prime, etc. seamlessly in a tap.","Python
Flask
Django
MySQL",https://www.instahyre.com/job-289509-python-developer-at-fleek-chennai/
Fluxon - Software Engineer,"Job available in Bangalore, Gurgaon, Hyderabad",Founded in 2017,50 - 200 employees,"Fluxon caters to software development with expertise in Software Engineering, Data Analysis and executive dashboards, Master data management, Search indexing, Content management, Mobile applications, etc.","Python
Golang
Java
JavaScript
Ruby
Angular
Django",https://www.instahyre.com/job-289588-software-engineer-at-fluxon-bangalore-gurgaon-hyderabad/
